Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
0,0.05,0.004,0,0.021,0.031,0.004,0,0.024,0.018,0,0.009,0.027
48,0.074,0.033,0.044,0.015,0.066,0.036,0.026,0.051,0.039,0.039,0.034,0.067
72,0.059,0.007,0.026,0.026,0.033,0.021,0.007,0.037,0.038,0.023,0.017,0.044
96,0.089,0.036,0.052,0.017,0.055,0.041,0.017,0.052,0.023,0.058,0.044,0.068
120,0.067,0.011,0.032,0.03,0.049,0.02,0.011,0.033,0.055,0.04,0.03,0.064
144,0.046,0.006,0.02,0.017,0.034,0.013,0.004,0.026,0.119,0.034,0.03,0.053
168,0.059,0.017,0.032,0.028,0.054,0.029,0.02,0.04,0.097,0.069,0.057,0.084
192,0.052,0.013,0.026,0.023,0.048,0.027,0.015,0.04,0.143,0.098,0.097,0.111
216,0.052,0,0.03,0.025,0.046,0.024,0.029,0.047,0.271,0.124,0.113,0.152
240,0.087,0.023,0.072,0.066,0.064,0.079,0.073,0.105,0.452,0.202,0.174,0.235
264,0.052,0,0.046,0.034,0.099,0.068,0.056,0.102,0.746,0.264,0.248,0.32
288,0.046,0.012,0.018,0.034,0.15,0.1,0.149,0.16,1.283,0.477,0.412,0.507
312,0.06,0.012,0.106,0.066,0.275,0.183,0.266,0.295,1.782,0.928,0.779,0.942
336,0.054,0.026,0.269,0.221,0.53,0.382,0.503,0.535,2.043,1.637,1.273,1.399
360,0.047,0.07,0.885,0.633,0.888,0.767,1.098,0.92,2.228,2.158,1.685,1.71
384,0.166,0.32,1.862,1.654,1.694,1.788,2.268,1.654,2.405,2.524,2.073,2.036
408,0.358,0.722,2.179,2.12,2.173,2.275,2.604,2.05,2.431,2.734,2.218,2.259
432,0.784,1.568,2.441,2.418,2.579,2.638,2.855,2.407,2.521,2.867,2.342,2.425
456,1.478,2.128,2.575,2.695,2.705,2.829,3.098,2.664,2.615,2.865,2.422,2.523
480,1.999,2.38,2.705,2.82,2.904,3.023,3.2,2.778,2.658,2.865,2.502,2.602
504,2.248,2.513,2.778,3.078,2.903,3.023,3.022,2.854,2.831,2.877,2.518,2.616
528,2.608,2.582,2.995,3.2,3.2,2.965,3.2,2.922,2.965,2.908,2.552,2.697
