sub,sept,sept_pstd,july,rpf_pstd,rpf_neg,rpf_nstd
1,38312.66667,7693.158577,0,0,0,0
0.5,35350,4558.553352,40161.66667,3503.719579,996.6666667,596.3915567
0.25,20263.33333,1267.229086,34929.66667,2310.510093,731.3333333,205.0273694
0.125,10669.33333,1200.818147,18947.33333,357.4486754,244.3333333,182.1525612
0.0625,5830.333333,855.9487264,10671.66667,1308.067616,394,59.61543424
0.03125,3215.333333,240.8780235,5375,382.2643065,327.3333333,102.7759159
0.015625,1825.666667,165.9203289,2776.666667,312.5724805,241.3333333,54.11305039
0.0078125,1073,113.9678317,1388,120.2192442,196.3333333,23.21398046
0.00390625,584,62.94441993,710.6666667,88.29621862,200,35.81433605
0.001953125,364.3333333,48.0717057,363,79.4858478,206.3333333,48.58211834
0.000976563,492.3333333,345.7564975,214,21.60246899,221,14.16568624
